name,comment,label_gus,label_le,label_ren,label_lif,label_sum
pramitavilina,Saya mah bodo amat mau siapa aja presidennya,Negatif,Negatif,,,Negatif
selfi_dmynti_,Woylah asem bgt komen2nya bikin bengek😭,Netral,Netral,,,Netral
coco_neymarley,Trump ente kudu belajar di Indonesiaku 😅😅😅 gimana caranya petahana menang 2 periode 😅😅😅😎,Negatif,Negatif,,,Negatif
anggie_cris,"Tar tunggu aj ada waktunya trump akan kumpulin bukti krn kecurangan2 yg d lakukan demokrat , trump yakin itu fraud karena sudah ada bukti , g nutup kemungkinan dia menang lg seperti pemilu sblmnya hillary yg unggul tp trump yg jd presiden",Negatif,Negatif,,,Negatif
bagoez_182,Joe Biden Pedhofile,Negatif,Negatif,,,Negatif
__rizkidf,Semoga biden wafat duluan sebelum di Lantik,Negatif,Negatif,,,Negatif
flying_sonata5,""" Make Indonesian great again ""🇲🇨🇲🇨",Netral,Netral,,,Netral
muhammad.yusup.maulana,Trum cant come to white house because for Biden.,Netral,Netral,,,Netral
mukhib_can,#huwaei terselamatkan?,Netral,Netral,,,Netral
di_ardi12,Partai Republik mengalahkan partai Demokrat 👍☝️,Positif,Positif,,,Positif
lisboafransisco,"Janji hanyalah tinggal janji. Meruang lingkup pernyataan Trump masalah adanya indikasi kecurangan, artinya elite globalis lbh maju selangkah dari Trump. Beliau tidak mengantisipasi adanya perhitungan suara tengah malam, dan itu tidak asing kita dengar di negeri ini. Yang artinya jg, elite globalis ikut campur tangan dalam pilpres Indonesia kemarin. Dulu saya benci Trump, namun setelah saya mengikuti jejaknya, ternyata beliau sangatlah Demokratis, bahkan lebih demokrasi daripada pemimpin kita. Diluar dari Trump ingin menguasai dunia, saya tidak peduli, yang jelas beliau sangat ingin melindungi rakyat nya. Titik!",Negatif,Negatif,,,Negatif
rejoicerani,Granfa handsome,Positif,Positif,,,Positif
nuveil_fashion,"Bantu Follow akunku yuk kak.. lalu belanja, ibu rumah tangga yg sedang mencari tambahan receh 😍",Netral,Netral,,,Netral
tatjanaaprilia,@savinahamid_ tapi duk Indonesia e,Netral,Netral,,,Netral
alm_mn,"Ajo bidin ko dulu manggaleh sate di simpang jaguang ko mah,kini lah jadi urg nomor satu e di amerika yeh @bebelacface @rickydarmian19 @rickycaniago3 ,takana dulu,bali bakwan pakai kuah sate,kanai 2rb",Netral,Netral,,,Netral
irvansty_,apakah biden juga ikut campur dalam penciptaan pandemi supaya dia bisa mencalonkan menjadi presiden dengan misi menghilangkan pandemi,Negatif,Negatif,,,Negatif
eko_times,Joe Biden is NOT American president!!! Dia party Biden komit fraud. It is not done yet ..,Negatif,Negatif,,,Negatif
hanif_sanjaya.57,Salam 2 periode. Next Ganjar for RI1 2024.,Netral,Netral,,,Netral
4_fir29,Ini lo yg harus di contohkan kepada pemerintah INDONESIA!!!!!!!,Positif,Positif,,,Positif
yessydyahanggoro,Apa pengaruhnya bagi kita? 🤔,Netral,Netral,,,Netral
tridajarisetouw,"Terbaik, Semoga bisa melakukan yg lebih baik 😇🙏",Positif,Positif,,,Positif
tuansadiq_sigaraga,"Trump membutuhkan KPU, Deni Siregar Cs dan MK dari indonesia",Negatif,Negatif,,,Negatif
senhusein,"Dia dan mereka terlihat sama dan serupa, muara dari ini semua jelas terlihat selama sistem yg sama masih dipakai🐥🐥",Negatif,Negatif,,,Negatif
joliminjolimin,Mantap,Positif,Positif,,,Positif
dii.laa__,Kayak gini @defnimayaditayfdr @giifaa00 @bernadethingrid,Netral,Netral,,,Netral
451kinsky,Semoga berimbas baik bagi politik dan ekonomi Indonesia,Positif,Positif,,,Positif
yossy.tiaranita,Kamala harris luar biasa... 😍❤️,Positif,Positif,,,Positif
gustistonehead123,Di Amerika klo nyoblos emak2 boleh mboyong bocah kagak?,Netral,Netral,,,Netral
tatafarez,❤️❤️,Positif,Positif,,,Positif
awwancha,😅😅😅😅😅,Netral,Netral,,,Netral
sukarnotokarnoto,"Jikalau kalah ya mengakui kalaulah,itu hanya utk menutupi kekalahan aja.",Netral,Netral,,,Netral
intansafina958,❤️👏,Positif,Positif,,,Positif
salehdapan,Selamat Dan sukses Atas Terpilih nya Joe Baiden sbgai Presiden AS Semoga lebih Baik dlm menàngani Negara Negara yang dilanda konflikq,Positif,Positif,,,Positif
deiagungprabowo,Jangan lupa Indonesia.. makanan Indonesia... bakso..sate...nasi...gowreeeng..,Netral,Netral,,,Netral
girfansyh,Mba najwa kapan nyalonin🔥🔥🔥,Netral,Netral,,,Netral
princesszeldaswan,Kocak biden waktu bawa meteran.. 😂😂 jaga jarak m c'trump gegara covid,Positif,Positif,,,Positif
chairil.awr,🙌,Positif,Positif,,,Positif
5016nora,Semangat selalu ....👍👍,Positif,Positif,,,Positif
abraham_1792,LGBT,Negatif,Negatif,,,Negatif
dinozebua2,❤️,Positif,Positif,,,Positif
zaenal92ok,Mantap,Positif,Positif,,,Positif
th_eo9832,👏,Positif,Positif,,,Positif
rachma._putri_wati,Selamat atas terpilih nya president USA Zoe baedah eh Joe Biden,Positif,Positif,,,Positif
f.a_saputro,Kok.. kayakk.... Pernah kejadian ya? Nyalon.. kalah.. ga terima.. nuduh curang.. perlawanan hukum..,Netral,Netral,,,Netral
lilik6910,Slmt bt Joe Biden👏smg amanah&lbh baik aamiin🙏,Positif,Positif,,,Positif
naurafashion2020,https://www.instagram.com/p/CHXIWlLHviV/?igshid=1pz4lv9ga34wt,Netral,Netral,,,Netral
batharamohaza,😂😮😂,Netral,Netral,,,Netral
trtaalee,Pedo,Negatif,Negatif,,,Negatif
mery.sung,Semoga presiden yang ini gak obrak abrik Irak dan negara Islam lain nya😭😭,Positif,Positif,,,Positif
yankdika,Salut..buat Mba Najwa...terkasih😍🔥,Netral,Netral,,,Netral
aksara_sworo,Jadi teringat pilpres indonesia 😅😅😅,Netral,Netral,,,Netral
bachtiarfingerstyle,@najwashihab berarti sekarang Presiden AS bukan Donal Trump lagi ya..? Congrats @joebiden 🔥,Positif,Positif,,,Positif
abie_doels,"pertahana nya kan si trump, so curangnya kek gimana ???",Netral,Netral,,,Netral
kevinstg00,MR Trump coba anda lihat TV one mungkin aja anda menang disna😁😁,Netral,Netral,,,Netral
bungregard10,Mari kita gaungkan tagar #UsaelectionObservesSos,Netral,Netral,,,Netral
angelykintanchiemeymoya,Di amerika ada serangan fajar pagi2 kasih amplop gk,Netral,Netral,,,Netral
cmutiamohi,"Gak usah dulu tanyain kemampuan dan janji presiden negera lain, tanyain dulu sama presiden negaramu sendiri. Udah mampu gak nepatin janji?!",Netral,Netral,,,Netral
ricko.ferdinand,"Ternyata krisis sportivitas, sdh mendunia. Bahkan USA yg notabene sbg negara maju, kini mengalami degradasi dibidang sportifitas. Mereka ikut2an meniru Indonesia ketika pilpres 2014 dan 2019, dimana kubu yg kalah, menganggap penyelenggaraan pemilu sebagai sebuah kecurangan. 😂😅😆😉😜",Netral,Netral,,,Netral
dhanie_syarman,andai saja trump membuat kotak suara dari kardus.dan hitungan nya kilat.pengumuman nya di teungah malam..pasti trump bakal 2priode🤣🤣,Negatif,Negatif,,,Negatif
novitaindrayani_,@febriaryanti_,Netral,Netral,,,Netral
carolus.wanadi,👏,Netral,Netral,,,Netral
indaart6,@by.mno,Netral,Netral,,,Netral
dss50,❤️,Positif,Positif,,,Positif
mei_vani,@annisatur__,Netral,Netral,,,Netral
wkwkin_aja,🙌🙌,Netral,Netral,,,Netral
hopnymaxi,Trump ; Ini adalah kecurangan yg sudah di rancang secara masif dan sistimatis .....Bahasa yg di adopsi dari pilpres indonesia🤭🤭🤭🤭🤭,Negatif,Negatif,,,Negatif
cipto.chio,Donal trump tidak secanggih di +62🤣,Netral,Netral,,,Netral
nrhlzawl,Semoga amanah gak kaya anu,Positif,Positif,,,Positif
sholehfirmino,"kenapa yg kalah selalu menganggap kalau itu pemilu curang😂ya udah pak trump ikut koalisi joe biden saja terima kekalahan dengan negarawan,jangan sampe rusuh2 kya di indonesia.kalau diindonesia ada cebong kampret klo diamerika apa iyah??kira2",Negatif,Negatif,,,Negatif
uni_ichaa,Ternyata ada di AS juga ya,Netral,Netral,,,Netral
dikaseptiann,Mau nge dm doi ah suruh bikin kartu prakerja,Netral,Netral,,,Netral
stephannymaria7,Congrats buat Joe Biden sebagai presiden terpilih Amerika Serikat 👏 Semoga bisa lebih baik.,Positif,Positif,,,Positif
abidinnur1966,Sebenar itulah cerminan fakta pilpres yg terjadi di lndonesia....penantang jauh lebih unggul suarax dgn pertahana....tp sayang Amerika bukan lndobesia hukum bisa dibeli....,Netral,Netral,,,Netral
kusnandaraja26,😅😅😅😅😅😅,Netral,Netral,,,Netral
aldiii_xg,Akibat Trump 1 rumah sama Prabowo 🤣,Netral,Netral,,,Netral
purnamaky,Bapak Jokowi dan Prabowo versi Hollywood,Netral,Netral,,,Netral
sarifuddin.a,"Diawal karir politik sampai jadi wakil presiden persis seperti mbh KH. Ma'ruf amin, akankah besok beliau nyapres yak?",Netral,Netral,,,Netral
ratu.trysa,👍👍👍👍,Positif,Positif,,,Positif
lesmaya3,By,Netral,Netral,,,Netral
jakavanindo,Belum selesai pemilu nya mbak.,Netral,Netral,,,Netral
aankgumilang,Yg dsni kn 1 periode lgi kan..??!,Netral,Netral,,,Netral
chandrakurniawijaya,Gohell trumpp😄,Positif,Positif,,,Positif
indahsuratman,😍😍😍😍😍😍,Positif,Positif,,,Positif
aprimhartio,MsM ohhhh MsM......,Netral,Netral,,,Netral
jokopurwanto6070,👏👏👏,Positif,Positif,,,Positif
noc.kurawa,Bodo amat,Negatif,Negatif,,,Negatif
madeenno,Congratulations mr Biden,Positif,Positif,,,Positif
merriashari,rrrrmywwyr.wyy,Netral,Netral,,,Netral
baozzjabrigz,siapapun yang menang dia tetep presiden AS 😄😄😄😄,Positif,Positif,,,Positif
sapma_ppntb,"Robek-robeklah badanku, potong-potonglah jasad ini, tetapi jiwaku dilindungi benteng merah putih, akan tetap hidup, tetap menuntut bela, siapapun lawan yang aku hadapi. (Jenderal Soedirman) Selamat Hari Pahlawan 10 November 2020.",Netral,Netral,,,Netral
andredm07,Terkadang user mm akan merebut terus buf yg bukan miliknya,Netral,Netral,,,Netral
jeck1n_97,Alhamdulillah biden trpilih😂👍 doa gwe terkabul,Positif,Positif,,,Positif
farhan_ipaenin,Semoga biden mau mindahin kedutaannya untuk israel dari jerusalem,Positif,Positif,,,Positif
indrisufiantidewi,Asikk trump kalah... 😍,Positif,Positif,,,Positif
deden_asard,Love you nana 😍❤️❤️,Netral,Netral,,,Netral
fazzriel_,Presiden baru amerika lebih membantu palestina sekarang dia juga melindungi islam salut banget gua,Positif,Positif,,,Positif
yue_shindu,trump subianto,Netral,Netral,,,Netral
zulfianisymsl24,🔥🔥🔥,Netral,Netral,,,Netral
valviyansyah,Pikirin aja negars kita dulu mba dan liat rakyat lagi menderita di bungkam karna benar bli jerinx Sid tolong ramaikan dong gimana tegak keadilan negara kita @najwashihab,Netral,Netral,,,Netral
setiyopebi,Yang menang bahagia ‼️ Yang kalah tidak terima merasa di tipu dan akan ambil langkah hukum ‼️,Netral,Netral,,,Netral
sarahcania,Entah beliau akan lebih baik dr pd trump atau tidak.. krna setiap orang bisa berubah seketika saat sudah menduduki kursi kekuasaan.. tp entah knp perasaanku gaenak 😐,Negatif,Negatif,,,Negatif
cah.kerjo_lho,"Ha ha ha persis Pilpres 2019. Untungnya Prabowo layak disebut sbg negarawan sejati , jauh beda sama sang mantan yang prihatin mulu kerjaannya, baper mulu.",Netral,Netral,,,Netral
your_destination99,Jangan lupa #inaelectionobserverSOS 🤣,Netral,Netral,,,Netral
anggar_gusti,"Woow, narasi memang TOP",Positif,Positif,,,Positif
jerrytubagus,"Joe Biden menang, Selamat buat LGBTQ, pro choice (abortion), Border dibuka lagi dan semua boleh ke Amerika tanpa kecuali..",Positif,Positif,,,Positif
imasismaya24gmail.com2,Ko kaya Dejavu ya ..🤭,Netral,Netral,,,Netral
amira_rsd,Wkwkwkkwkwk,Netral,Netral,,,Netral
andylaurent_0228,Congratulations🤩🌟😍,Positif,Positif,,,Positif
mauly_maura,🤔,Netral,Netral,,,Netral
estroberri.queentty,Gua ngakak baca Coment 🤣🤣🤣,Netral,Netral,,,Netral
ed_ijohn25,Perfect hai GUE edijohn pencipt lagu vocalis guitaris rockustik artis pendukung honda brio web series episode 3 dg viwer 400 rb kali ditonton tayang resmi youtube honda ketik ed_ijohn25 wa 083112102801,Netral,Netral,,,Netral
wildanyudan,Trump jadi menhan 😂,Netral,Netral,,,Netral
dedychandra01,Njir....ngakak gua asli🤣🤣🤣,Netral,Netral,,,Netral
hasabudib,Mirip kadrun zionis,Netral,Netral,,,Netral
ihanifah.creative,Semoga aja tidak ada peperangan dg Timur tengah ataupun Negara lainya aminn,Positif,Positif,,,Positif
khoerunisaanissa,"Menurut gue si lebih milih biden daripada trump karna trump itu udh keterlaluan si kerjaan tuh judi sama perang"" ke negara"" lain bla bla bla apalagi orang"" berkulit item aja ditebak kan kasihan orang"" ga bersalah😥, semoga tahun 2021 yg menang presiden biden yg terbaik karna biden wakil presiden di era presiden obama karna kerjanya bagus dan ga suka yg namanya perang itu yg paling gue seneng ☺",Positif,Positif,,,Positif
atun_marfuatun,👍👍,Positif,Positif,,,Positif
muhammadrasyid95,😂👏👏👏hahahaha ksian,Netral,Netral,,,Netral
rifqiiqso,Gugat ke MK dong,Netral,Netral,,,Netral
yunirstn,Biden kok urus negara..biden tu urus ibu ibu mau melahirkan.,Netral,Netral,,,Netral
mabar_yuk5,kata2 trump kyk prnh tau ya.. kcurangan masif terstruktur bla bla bla,Netral,Netral,,,Netral
mabar_yuk5,kata2 trump kyk prnh tau ya.. kcurangan masif terstruktur bla bla bla,Netral,Netral,,,Netral
anti_bangan,Kirain cuma cuma disini yg begono,Netral,Netral,,,Netral
kemangvillage.co.id,Disana ada demo 212 gak kak? ☺️,Netral,Netral,,,Netral
desasanggrahan1,Di Amerika PPSnya gimna ya,Netral,Netral,,,Netral
meihwa_s,Mungkin kah dia imam mahdi,Netral,Netral,,,Netral
rafigayoloser98,"Lost😉Y kalah tetap kalah aj,lagiaan umum i ya siang hari beda ma di negeri ini umum i ya tgah malam",Netral,Netral,,,Netral
mf.indiani,Trump blm tau dongeng di Ina62 sih..,Netral,Netral,,,Netral
nophex.snoph,Semoga lebih baik dr yg sebelumnya,Positif,Positif,,,Positif
sukmajayamanopolm,Pp,Netral,Netral,,,Netral
basirpalestin,Trump ya tetap jadi donald bebek wkwk,Netral,Netral,,,Netral
basirpalestin,🔥🔥umur boleh tua tapi semangat membara,Positif,Positif,,,Positif
adm_aries,Biden looks like Old Vampire kayak di film2 tu *serem,Negatif,Negatif,,,Negatif
nanaanna90,Harusnya trump ganti dulu kotak suara pakai kardus sebelum pemilu 🤣,Netral,Netral,,,Netral
kristinap_sirait29,"Yg terbaik ajalah,, soalnya sya mau ke Rusia😍",Positif,Positif,,,Positif
1115hendra,"Trump lengser,dunia damai..",Positif,Positif,,,Positif
dwigunaramadhani20,"Banyak yg beranggapan bahwa terpilih nya Biden & Kamala akan menguntungkan Palestina mayoritas muslim., Nyata nya tidak , lihat dari sejarah hancurnya timur tengah oleh propaganda US di balik itu semua democrat party berperan",Negatif,Negatif,,,Negatif
nawan8991,"Tidak menerima kekalahan,, anda sehat kan ?? 🤣🤣🤣🤣",Netral,Netral,,,Netral
a22gosamirul_,👏👏👏,Positif,Positif,,,Positif
kustommadeindonesia,👍👍👍,Positif,Positif,,,Positif
mshlh_20,di tvOne sama Metrotv hasilnya sama gak?,Netral,Netral,,,Netral
aisa_hoosen,Semoga dgn terpilihnya joe biden peduli sama umat islam dunia tdk membeda bedakan ras dn golongan,Positif,Positif,,,Positif
joniakbar1806,"mhn bantu like👇& share- nya ya guys (bro & sist)....🙏✌️, buat materi lomba hari ini....🙏👇🙏🙏👇 https://www.instagram.com/tv/CHWttF4HFc8/?igshid=174dtglko090y matursuwun so much sblum & sesudahnya🙏🙏😇👍👍",Netral,Netral,,,Netral
raja.pratama__,Pak joe biden kek nya pake topeng ya?,Netral,Netral,,,Netral
fa.gandi,"Bodo amat, bukan negara gua",Netral,Netral,,,Netral
diannury20,Di amerika org gila bisa ikut nyoblos gk ? Serius nanya,Netral,Netral,,,Netral
alif_ali_qiu_qiu,👏👏👏👏👏👏👏👏,Positif,Positif,,,Positif
riko__207,Kyk di indo ya coslplay,Netral,Netral,,,Netral
horasgaming_yt,Tp gua salut Ama Donald Trump,Positif,Positif,,,Positif
marhaban_isnan,Akankah donaldtrump jadi menteri seperti di negara kami indonesia 😑,Netral,Netral,,,Netral
